,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,KRW-ETH,2019-04-24T00:00:00,2019-04-24T09:00:00,198500,199550,190150,195350,2019-04-24 23:59:40.731,20981744094.167100,107579.79963895,198550,-3200,-0.0161168471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,KRW-ETH,2019-04-25T00:00:00,2019-04-25T09:00:00,195250,196250,179750,181500,2019-04-25 23:59:59.923,22029596716.380500,116654.92744439,195350,-13850,-0.0708983875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,KRW-ETH,2019-04-26T00:00:00,2019-04-26T09:00:00,181500,187000,176200,182600,2019-04-26 23:59:47.158,21211217071.756300,117063.67810293,181500,1100,0.0060606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,KRW-ETH,2019-04-27T00:00:00,2019-04-27T09:00:00,182600,186500,180800,183750,2019-04-27 23:59:41.591,7495210563.577140,41033.56609624,182600,1150,0.0062979189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,KRW-ETH,2019-04-28T00:00:00,2019-04-28T09:00:00,183750,185550,182000,182650,2019-04-28 23:59:35.019,6429414547.301890,34969.13952093,183750,-1100.0,-0.0059863946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,KRW-ETH,2019-04-29T00:00:00,2019-04-29T09:00:00,182650,183450,175150,178600,2019-04-29 23:59:52.281,14590322341.653600,81101.92420095,182650,-4050.0,-0.022173556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,KRW-ETH,2019-04-30T00:00:00,2019-04-30T09:00:00,178850,186500,178600,185850,2019-04-30 23:59:59.344,16874783580.079600,92618.4793584,178600,7250.0,0.040593505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,KRW-ETH,2019-05-01T00:00:00,2019-05-01T09:00:00,185800,188450,182250,184400,2019-05-01 23:59:54.173,9406786286.728890,50796.09602906,185850,-1450.0,-0.007801990900000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,KRW-ETH,2019-05-02T00:00:00,2019-05-02T09:00:00,184250,187700,183300,186400,2019-05-03 00:00:00.120,9897889483.411600,53444.0602695,184400,2000.0,0.010845987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,KRW-ETH,2019-05-03T00:00:00,2019-05-03T09:00:00,186350,195700,185300,192000,2019-05-03 23:59:55.050,21890411324.954800,114810.9387322,186400,5600.0,0.0300429185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,KRW-ETH,2019-05-04T00:00:00,2019-05-04T09:00:00,192150,195700,185000,188450,2019-05-04 23:59:54.872,16332786042.709200,85893.99053543,192000,-3550.0,-0.0184895833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,KRW-ETH,2019-05-05T00:00:00,2019-05-05T09:00:00,188550,190250,185000,189150,2019-05-05 23:59:40.291,8051892517.250950,42741.76123672,188450,700.0,0.0037145131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,KRW-ETH,2019-05-06T00:00:00,2019-05-06T09:00:00,189150,204700,186200,199400,2019-05-06 23:59:56.357,29557844351.02740,150899.25340783,189150,10250.0,0.054189796500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,KRW-ETH,2019-05-07T00:00:00,2019-05-07T09:00:00,199400,209150,194450,195450,2019-05-07 23:59:53.164,37051177675.14280,182362.97504974,199400,-3950.0,-0.0198094283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,KRW-ETH,2019-05-08T00:00:00,2019-05-08T09:00:00,195500,200000,190700,198250,2019-05-08 23:59:55.610,19411528843.94120,98802.36888606,195450,2800.0,0.0143259146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,KRW-ETH,2019-05-09T00:00:00,2019-05-09T09:00:00,198250,202100,196350,201100,2019-05-09 23:59:59.223,22664202454.86940,113608.25322059,198250,2850.0,0.0143757881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,KRW-ETH,2019-05-10T00:00:00,2019-05-10T09:00:00,201100,206600,198500,203450,2019-05-10 23:59:10.791,27011647862.508500,132827.78804456,201100,2350.0,0.0116857285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,KRW-ETH,2019-05-11T00:00:00,2019-05-11T09:00:00,203350,237000,203300,222750,2019-05-11 23:59:59.612,65589645825.0209,300083.44358653,203450,19300.0,0.09486360290000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,KRW-ETH,2019-05-12T00:00:00,2019-05-12T09:00:00,222750,237200,214100,220350,2019-05-12 23:59:47.600,60871177812.8774,270691.45165256,222750,-2400.0,-0.0107744108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,KRW-ETH,2019-05-13T00:00:00,2019-05-13T09:00:00,220200,240850,217500,231600,2019-05-13 23:59:55.423,70856394878.0955,307977.53252474,220350,11250.0,0.0510551396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,KRW-ETH,2019-05-14T00:00:00,2019-05-14T09:00:00,231600,262250,229800,258800,2019-05-14 23:59:59.015,112720935830.02800,455609.36567367,231600,27200.0,0.11744386870000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,KRW-ETH,2019-05-15T00:00:00,2019-05-15T09:00:00,258600,293450,258400,292100,2019-05-15 23:59:58.617,159749813276.3850,581921.34315082,258800,33300.0,0.1286707883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
